,Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3,action mode
C27,0.0272485,0.03150575,0.029611375,0.129795,0.039127625,0.076689375,0.026315,0.0327915,0.0252485,0.0264335,0.02519875,0.026303875,0.02520175,0.0262955,GABAA allosteric antagonist
C28,0.0261795,0.033146,0.02687825,0.04624225,0.03144,0.06951875,0.028271,0.033913,0.026474,0.028895,0.02606075,0.02868225,0.024845,0.02731375,GABAA allosteric antagonist
C29,0.0281385,0.032934,0.03011525,0.05609625,0.03681075,0.0765765,0.028313,0.032292,0.027322,0.028915,0.027177,0.0305255,0.02699925,0.02769475,GABAA allosteric antagonist
C34,0.0281445,0.031363,0.032393875,0.19189125,0.051607125,0.16679625,0.0294905,0.036784,0.0282525,0.0293845,0.027982375,0.029160125,0.02795725,0.028955875,GABAA allosteric antagonist
C36,0.0338235,0.037328,0.03737975,0.12815,0.042277,0.10316775,0.034668,0.03823,0.032083,0.034245,0.03178575,0.03392275,0.0311825,0.03381975,GABAA allosteric antagonist
C37,0.033883,0.0386165,0.0415745,0.17579,0.04598325,0.08128225,0.035875,0.039013,0.034926,0.036112,0.034873,0.03627225,0.034776,0.0358755,GABAA allosteric antagonist
C38,0.0288685,0.032429,0.03148525,0.0737375,0.0373615,0.0875925,0.029123,0.03397,0.028025,0.030038,0.028997,0.0300745,0.027845,0.03018225,GABAA allosteric antagonist
C39,0.035784,0.0389175,0.036993,0.06375525,0.04490475,0.120595,0.036878,0.042278,0.03472,0.036003,0.034481,0.03516425,0.03475075,0.03601375,GABAA allosteric antagonist
C40,0.030026,0.033869,0.03168825,0.04038225,0.033333,0.045154,0.030223,0.032508,0.029269,0.030882,0.0294625,0.03047,0.02869625,0.0297885,GABAA allosteric antagonist
C42,0.033736,0.0370855,0.0342135,0.038929,0.04053875,0.055965,0.033748,0.038559,0.033048,0.034196,0.03268525,0.03407175,0.03282725,0.03458925,GABAA allosteric antagonist
C45,0.0311575,0.033732,0.032069,0.038978,0.03580225,0.04606575,0.032357,0.034495,0.029179,0.031611,0.03159775,0.0331065,0.029346,0.03335675,GABAA allosteric antagonist
C47,0.03441675,0.039394,0.03587225,0.04198525,0.050931625,0.127725,0.033759,0.0379005,0.0326815,0.034459,0.0329105,0.035086625,0.033414375,0.035226625,GABAA allosteric antagonist
C48,0.03198475,0.034054,0.032109,0.037557875,0.03408425,0.04370675,0.032397,0.036331,0.031846,0.033713,0.03151725,0.0329325,0.031430875,0.0328665,GABAA allosteric antagonist
C49,0.02652075,0.032009,0.031328,0.11959125,0.04543175,0.158925,0.0286245,0.036853,0.0273905,0.0285785,0.027215125,0.02931725,0.026761375,0.027978875,GABAA allosteric antagonist
C54,0.027111,0.0318835,0.02966,0.05916625,0.0317685,0.039202,0.027203,0.031404,0.02604,0.028326,0.02568625,0.02893675,0.025035,0.026748,GABAA allosteric antagonist
C70,0.02043225,0.0278815,0.073518125,0.272335,0.06066125,0.14927375,0.021591,0.035754,0.01971,0.02053,0.019737875,0.02112725,0.018418,0.020639625,GABAA allosteric antagonist
C72,0.025814,0.0355235,0.09331475,0.3059075,0.081029,0.1430675,0.03096,0.065276,0.023267,0.025189,0.023689,0.02755275,0.02346875,0.02525225,GABAA allosteric antagonist
C89,0.0295605,0.03239,0.03038425,0.106935,0.03349775,0.069959,0.029078,0.0329,0.028561,0.030127,0.02842125,0.03079075,0.028349,0.03102675,GABAA allosteric antagonist
C101,0.024692,0.0292375,0.02591675,0.030379,0.0310675,0.04240825,0.027461,0.031525,0.025727,0.0270065,0.024830875,0.02639175,0.025016625,0.026408875,GABAA allosteric antagonist
C104,0.024716,0.029242,0.02568575,0.0287175,0.02914225,0.048259,0.027048,0.030328,0.024726,0.026182,0.02426725,0.02547875,0.024192,0.02544175,GABAA allosteric antagonist
C105,0.023219,0.025633,0.02288975,0.02342725,0.0229275,0.02422075,0.022928,0.024054,0.022904,0.023439,0.022788,0.02314,0.02273875,0.02311325,GABAA allosteric antagonist
